objectid,filename,title,creator,maker,description,subject,location of manufacture,model,year of manufacture,materials,identifier,type,format,rights,rightsstatement
coll001,royalcrest001.jpeg,Harmony: Royal Crest,Mariel Murray,Harmony,Guitar,guitar; acoustic,"Chicago, Illinois",Royal Crest,1938,"spruce, maple, rosewood",1,Image;StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,,,,,,,,,,,,,,,
coll003,,,,,,,,,,,,,,,
coll004,,,,,,,,,,,,,,,
coll005,,,,,,,,,,,,,,,
coll006,,,,,,,,,,,,,,,
coll007,,,,,,,,,,,,,,,
coll008,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,